,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
17366,23:00:00,AUD,Judo Bank Australia Services PMI (Aug),52.2,,50.4,Wednesday,20240821,AUD17366
17368,19:30:00,AUD,CFTC AUD speculative net positions,-38.9K,,-42.6K,Friday,20240823,AUD17368
17370,1:30:00,AUD,Construction Work Done (QoQ) (Q2),0.001,0.008,-0.02,Wednesday,20240828,AUD17370
17371,1:30:00,AUD,Monthly CPI Indicator (YoY) (Jul),0.035,0.034,0.038,Wednesday,20240828,AUD17371
17373,1:30:00,AUD,Building Capital Expenditure (MoM) (Q2),-0.038,,-0.009,Thursday,20240829,AUD17373
17374,1:30:00,AUD,Plant/Machinery Capital Expenditure (QoQ) (Q2),-0.005,,0.037,Thursday,20240829,AUD17374
17375,1:30:00,AUD,Private New Capital Expenditure (QoQ) (Q2),-0.022,0.009,0.019,Thursday,20240829,AUD17375
17377,1:30:00,AUD,Housing Credit (Jul),0.005,,0.004,Friday,20240830,AUD17377
17378,1:30:00,AUD,Private Sector Credit (MoM) (Jul),0.005,0.005,0.006,Friday,20240830,AUD17378
17379,1:30:00,AUD,Retail Sales (MoM) (Jul),0,0.003,0.005,Friday,20240830,AUD17379
17381,19:30:00,AUD,CFTC AUD speculative net positions,-19.2K,,-38.9K,Friday,20240830,AUD17381
17383,23:00:00,AUD,Judo Bank Australia Manufacturing PMI (Aug),48.5,48.7,47.5,Sunday,20240901,AUD17383
17384,1:30:00,AUD,ANZ Job Advertisements (MoM) (Aug),-0.021,,-0.027,Monday,20240902,AUD17384
17385,1:30:00,AUD,Building Approvals (YoY) (Jul),0.249,0.098,0.114,Monday,20240902,AUD17385
17386,1:30:00,AUD,Building Approvals (MoM) (Jul),0.104,0.024,-0.064,Monday,20240902,AUD17386
17387,1:30:00,AUD,Business inventories (MoM) (Q2),0.001,-0.005,0.015,Monday,20240902,AUD17387
17388,1:30:00,AUD,Company Gross Operating Profits (QoQ) (Q2),-0.053,-0.006,-0.025,Monday,20240902,AUD17388
17389,1:30:00,AUD,Company Profits Pre-Tax (QoQ) (Q2),-0.017,,-0.084,Monday,20240902,AUD17389
17390,1:30:00,AUD,Private House Approvals (Jul),0.006,,-0.005,Monday,20240902,AUD17390
17391,2:30:00,AUD,MI Inflation Gauge (MoM),-0.001,,0.004,Monday,20240902,AUD17391
17393,6:30:00,AUD,Commodity Prices (YoY) (Aug),-0.052,,-0.041,Monday,20240902,AUD17393
17394,1:30:00,AUD,Current Account (Q2),-10.7B,-4.5B,-6.3B,Tuesday,20240903,AUD17394
17395,1:30:00,AUD,Net Exports Contribution (Q2),0.002,0.006,-0.009,Tuesday,20240903,AUD17395
17397,23:00:00,AUD,AIG Construction Index (Aug),-38.1,,-23.2,Tuesday,20240903,AUD17397
17398,23:00:00,AUD,AIG Manufacturing Index (Aug),-30.8,,-19.5,Tuesday,20240903,AUD17398
17399,23:00:00,AUD,Judo Bank Australia Services PMI,52.5,52.2,50.4,Tuesday,20240903,AUD17399
17400,1:30:00,AUD,GDP (YoY) (Q2),0.01,0.01,0.013,Wednesday,20240904,AUD17400
17401,1:30:00,AUD,GDP (QoQ) (Q2),0.002,0.002,0.002,Wednesday,20240904,AUD17401
17402,1:30:00,AUD,GDP Capital Expenditure (Q2),-0.001,,-0.006,Wednesday,20240904,AUD17402
17403,1:30:00,AUD,GDP Chain Price Index (Q2),-0.009,,0.01,Wednesday,20240904,AUD17403
17404,1:30:00,AUD,GDP Final Consumption (Q2),0.003,,0.006,Wednesday,20240904,AUD17404
17406,1:30:00,AUD,Exports (MoM) (Jul),0.007,,0.014,Thursday,20240905,AUD17406
17407,1:30:00,AUD,Imports (MoM) (Jul),-0.008,,0.004,Thursday,20240905,AUD17407
17408,1:30:00,AUD,Trade Balance (Jul),6.009B,5.050B,5.425B,Thursday,20240905,AUD17408
17412,1:30:00,AUD,Home Loans (MoM) (Jul),0.029,0.01,0.01,Friday,20240906,AUD17412
17413,1:30:00,AUD,Invest Housing Finance (MoM) (Jul),0.054,,0.027,Friday,20240906,AUD17413
17415,19:30:00,AUD,CFTC AUD speculative net positions,-7.9K,,-19.2K,Friday,20240906,AUD17415
17417,0:30:00,AUD,Westpac Consumer Sentiment (Sep),-0.005,,0.028,Tuesday,20240910,AUD17417
17418,1:30:00,AUD,Building Approvals (MoM) (Jul),0.104,0.104,-0.064,Tuesday,20240910,AUD17418
17419,1:30:00,AUD,NAB Business Confidence (Aug),-4,,1,Tuesday,20240910,AUD17419
17420,1:30:00,AUD,NAB Business Survey (Aug),3,,6,Tuesday,20240910,AUD17420
17421,1:30:00,AUD,Private House Approvals (Jul),0.006,0.006,-0.005,Tuesday,20240910,AUD17421
17423,1:00:00,AUD,MI Inflation Expectations (Sep),0.044,,0.045,Thursday,20240912,AUD17423
17425,2:00:00,AUD,Thomson Reuters IPSOS PCSI (MoM) (Sep),50.17,,49.27,Friday,20240913,AUD17425
17427,19:30:00,AUD,CFTC AUD speculative net positions,-14.0K,,-7.9K,Friday,20240913,AUD17427
17430,1:00:00,AUD,MI Leading Index (MoM) (Aug),-0.001,,0,Wednesday,20240918,AUD17430
17432,1:30:00,AUD,Employment Change (Aug),47.5K,26.4K,48.9K,Thursday,20240919,AUD17432
17433,1:30:00,AUD,Full Employment Change (Aug),-3.1K,,64.7K,Thursday,20240919,AUD17433
17434,1:30:00,AUD,Participation Rate (Aug),0.671,0.671,0.671,Thursday,20240919,AUD17434
17435,1:30:00,AUD,Reserve Assets Total (Aug),93.1B,,96.2B,Thursday,20240919,AUD17435
17436,1:30:00,AUD,Unemployment Rate (Aug),0.042,0.042,0.042,Thursday,20240919,AUD17436
17438,19:30:00,AUD,CFTC AUD speculative net positions,-40.1K,,-14.0K,Friday,20240920,AUD17438
17440,23:00:00,AUD,Judo Bank Australia Manufacturing PMI (Sep),46.7,,48.5,Sunday,20240922,AUD17440
17441,23:00:00,AUD,Judo Bank Australia Services PMI (Sep),50.6,,52.5,Sunday,20240922,AUD17441
17443,4:30:00,AUD,RBA Interest Rate Decision (Sep),0.0435,0.0435,0.0435,Tuesday,20240924,AUD17443
17446,1:30:00,AUD,Monthly CPI Indicator (YoY) (Aug),0.027,0.027,0.035,Wednesday,20240925,AUD17446
17450,19:30:00,AUD,CFTC AUD speculative net positions,-11.2K,,-40.1K,Friday,20240927,AUD17450
17452,1:30:00,AUD,Housing Credit (Aug),0.004,,0.005,Monday,20240930,AUD17452
17453,1:30:00,AUD,Private Sector Credit (MoM) (Aug),0.005,0.005,0.005,Monday,20240930,AUD17453
17455,23:00:00,AUD,Judo Bank Australia Manufacturing PMI,46.7,46.7,48.5,Monday,20240930,AUD17455
17456,1:30:00,AUD,Building Approvals (YoY) (Aug),0.079,,0.252,Tuesday,20241001,AUD17456
17457,1:30:00,AUD,Building Approvals (MoM) (Aug),-0.061,-0.043,0.11,Tuesday,20241001,AUD17457
17458,1:30:00,AUD,Private House Approvals (Aug),0.005,,0.009,Tuesday,20241001,AUD17458
17459,1:30:00,AUD,Retail Sales (MoM) (Aug),0.007,0.004,0.001,Tuesday,20241001,AUD17459
