,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
16565,12:30:00,CAD,Retail Sales (MoM) (May),-0.008,-0.005,0.006,Friday,20240719,CAD16565
16566,12:30:00,CAD,RMPI (MoM) (Jun),-0.014,-0.007,-0.015,Friday,20240719,CAD16566
16567,12:30:00,CAD,RMPI (YoY) (Jun),0.075,,0.069,Friday,20240719,CAD16567
16568,19:30:00,CAD,CFTC CAD speculative net positions,-111.2K,,-111.2K,Friday,20240719,CAD16568
16570,12:30:00,CAD,Manufacturing Sales (MoM) (Jun),-0.026,,0.004,Wednesday,20240724,CAD16570
16571,12:30:00,CAD,New Housing Price Index (MoM) (Jun),-0.002,0.001,0.002,Wednesday,20240724,CAD16571
16574,13:45:00,CAD,BoC Interest Rate Decision,0.045,0.045,0.0475,Wednesday,20240724,CAD16574
16577,12:30:00,CAD,Average Weekly Earnings (YoY) (May),0.0423,,0.0377,Thursday,20240725,CAD16577
16579,12:30:00,CAD,Wholesale Sales (MoM),-0.006,,-0.008,Friday,20240726,CAD16579
16580,15:00:00,CAD,Budget Balance (YoY) (May),-3.89B,,-50.93B,Friday,20240726,CAD16580
16581,15:00:00,CAD,Budget Balance (May),1.10B,,-33.59B,Friday,20240726,CAD16581
16582,19:30:00,CAD,CFTC CAD speculative net positions,-161.6K,,-111.2K,Friday,20240726,CAD16582
16584,12:30:00,CAD,GDP (MoM) (May),0.002,0.001,0.003,Wednesday,20240731,CAD16584
16585,12:31:00,CAD,GDP (MoM) (Jun),0.001,,0.002,Wednesday,20240731,CAD16585
16587,13:30:00,CAD,S&P Global Canada Manufacturing PMI (Jul),47.8,,49.3,Thursday,20240801,CAD16587
16589,19:30:00,CAD,CFTC CAD speculative net positions,-196.3K,,-161.6K,Friday,20240802,CAD16589
16596,12:15:00,CAD,Reserve Assets Total (Jul),124.2B,,122.9B,Tuesday,20240806,CAD16596
16597,12:30:00,CAD,Exports (Jun),66.65B,,63.19B,Tuesday,20240806,CAD16597
16598,12:30:00,CAD,Imports (Jun),66.01B,,64.80B,Tuesday,20240806,CAD16598
