,Time,Currency,Headline,Actual,Forecast,Previous,DayOfWeek,YYYYMMDD,identifier
8731,19:30:00,CHF,CFTC CHF speculative net positions,-41.8K,,-41.8K,Friday,20240510,CHF8731
8733,7:00:00,CHF,SECO Consumer Climate (Q2),-24,-40,-38,Monday,20240513,CHF8733
8736,6:30:00,CHF,PPI (YoY) (Apr),-0.018,,-0.021,Tuesday,20240514,CHF8736
8737,6:30:00,CHF,PPI (MoM) (Apr),0.006,0.002,0.001,Tuesday,20240514,CHF8737
8739,6:30:00,CHF,Industrial Production (YoY) (Q1),-0.031,,-0.005,Friday,20240517,CHF8739
8740,19:30:00,CHF,CFTC CHF speculative net positions,-41.1K,,-41.8K,Friday,20240517,CHF8740
8744,7:00:00,CHF,M3 Money Supply (Apr),"1,140.9B",,"1,137.9B",Tuesday,20240521,CHF8744
8746,6:30:00,CHF,Employment Level (Q1),5.484M,,5.488M,Friday,20240524,CHF8746
8748,19:30:00,CHF,CFTC CHF speculative net positions,-40.6K,,-41.1K,Friday,20240524,CHF8748
8752,8:00:00,CHF,ZEW Expectations (May),18.2,,17.6,Wednesday,20240529,CHF8752
8755,6:00:00,CHF,Trade Balance (Apr),4.316B,3.980B,3.767B,Thursday,20240530,CHF8755
8756,7:00:00,CHF,KOF Leading Indicators (May),100.3,102.2,101.9,Thursday,20240530,CHF8756
8757,7:00:00,CHF,GDP (QoQ) (Q1),0.005,0.003,0.003,Thursday,20240530,CHF8757
8758,7:00:00,CHF,GDP (YoY) (Q1),0.006,0.006,0.005,Thursday,20240530,CHF8758
8760,6:30:00,CHF,Retail Sales (YoY) (Apr),0.027,0.002,-0.002,Friday,20240531,CHF8760
8761,7:00:00,CHF,Official Reserves Assets (Apr),803.9B,,794.9B,Friday,20240531,CHF8761
8762,19:30:00,CHF,CFTC CHF speculative net positions,-44.4K,,-40.6K,Friday,20240531,CHF8762
8764,7:30:00,CHF,procure.ch PMI (May),46.4,45.4,41.4,Monday,20240603,CHF8764
8766,6:30:00,CHF,CPI (YoY) (May),0.014,,0.014,Tuesday,20240604,CHF8766
8767,6:30:00,CHF,CPI (MoM) (May),0.003,0.003,0.003,Tuesday,20240604,CHF8767
8769,5:45:00,CHF,Unemployment Rate n.s.a. (May),0.023,0.023,0.023,Thursday,20240606,CHF8769
8770,5:45:00,CHF,Unemployment Rate s.a. (May),0.024,,0.023,Thursday,20240606,CHF8770
8772,7:00:00,CHF,Foreign Reserves (USD) (May),717.6B,,720.3B,Friday,20240607,CHF8772
8773,19:30:00,CHF,CFTC CHF speculative net positions,-45.8K,,-44.4K,Friday,20240607,CHF8773
8775,7:00:00,CHF,SECO Consumer Climate,-38,-37,-24,Monday,20240610,CHF8775
8777,6:30:00,CHF,PPI (MoM) (May),-0.003,0.005,0.006,Thursday,20240613,CHF8777
8778,6:30:00,CHF,PPI (YoY) (May),-0.018,,-0.018,Thursday,20240613,CHF8778
8781,19:30:00,CHF,CFTC CHF speculative net positions,-42.9K,,-45.8K,Friday,20240614,CHF8781
8787,6:00:00,CHF,Trade Balance (May),5.811B,3.840B,4.339B,Thursday,20240620,CHF8787
8788,7:30:00,CHF,SNB Interest Rate Decision (Q2),0.0125,0.015,0.015,Thursday,20240620,CHF8788
8792,7:00:00,CHF,M3 Money Supply (May),"1,136.1B",,"1,143.5B",Friday,20240621,CHF8792
8794,19:30:00,CHF,CFTC CHF speculative net positions,-37.4K,,-42.9K,Monday,20240624,CHF8794
8796,8:00:00,CHF,ZEW Expectations (Jun),17.5,,18.2,Wednesday,20240626,CHF8796
8799,7:00:00,CHF,KOF Leading Indicators (Jun),102.7,101,102.2,Friday,20240628,CHF8799
8800,7:00:00,CHF,Official Reserves Assets (May),801.4B,,803.9B,Friday,20240628,CHF8800
8801,19:30:00,CHF,CFTC CHF speculative net positions,-35.1K,,-37.4K,Friday,20240628,CHF8801
